Destination country (across)                                                              -                                                                                        Source country (down) ,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,"Bahamas, The",Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia and Herzegovina,Botswana,Brazil,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,Colombia,Comoros,"Congo, Dem. Rep.","Congo, Rep.",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,"Egypt, Arab Rep.",El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Fiji,Finland,France,French Polynesia,Gabon,"Gambia, The",Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,"Hong Kong SAR, China",Hungary,Iceland,India,Indonesia,"Iran, Islamic Rep.",Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,"Korea, Dem. Rep.","Korea, Rep.",Kosovo,Kuwait,Kyrgyz Republic,Lao PDR,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,"Macao SAR, China","Macedonia, FYR",Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,"Micronesia, Fed. Sts.",Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Romania,Russian Federation,Rwanda,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovak Republic,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,St. Kitts and Nevis,St. Lucia,St. Martin (French part),St. Vincent and the Grenadines,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,"Venezuela, RB",Vietnam,Virgin Islands (U.S.),West Bank and Gaza,"Yemen, Rep.",Zambia,Zimbabwe,Other North,Other South,World
Afghanistan,0,0,0,0,0,0,0,9,0,0,"28,411","8,405",0,0,680,0,0,269,"3,841",0,0,4,0,1,0,0,58,0,314,0,0,0,0,0,"42,060",0,0,0,0,19,685,113,0,0,0,9,0,0,0,0,11,"1,107","11,924",0,0,8,82,132,0,0,0,12,0,3,0,"3,295","4,321",0,0,0,0,"129,023",0,309,0,0,0,0,0,0,0,0,0,0,847,10,"8,237",0,"2,299,676",251,496,0,"2,584","4,006",0,0,55,0,241,0,0,0,0,"1,889",0,0,31,0,0,0,315,0,16,0,0,0,0,0,0,0,0,1,0,2,0,13,0,103,0,0,0,0,0,0,0,0,"33,589",0,"2,445",32,0,0,0,"12,673",0,"2,326,275",0,7,0,0,7,"1,228",152,9,3,"1,491",9,"4,934",0,0,0,0,"500,000",0,0,0,0,0,0,135,14,0,0,48,0,0,0,0,0,0,0,0,0,0,"25,144","4,544","1,791","7,704",0,1,0,0,0,0,0,"16,000",0,0,0,0,"1,111","7,377","61,438","69,709",0,433,1,14,0,0,0,0,0,0,0,0,"5,632,196"
Albania,0,0,0,0,0,0,0,77,0,4,"3,063","3,068",0,0,0,0,0,0,"5,889",0,0,3,0,0,12,0,0,0,"1,195",0,0,0,0,0,"12,648",0,0,0,0,31,0,48,0,0,0,7,0,0,114,0,327,647,312,0,0,29,106,124,0,0,0,6,0,0,0,236,"6,397",0,0,0,0,"42,102",0,"574,840",0,0,0,0,0,0,0,0,0,0,206,39,0,0,0,0,774,0,0,"449,657",0,0,9,0,68,0,0,0,0,0,0,0,0,0,0,0,295,0,15,318,0,"25,400",0,0,0,0,0,106,0,0,0,13,0,0,0,0,"19,775",0,0,0,0,0,"1,006",0,0,2,0,0,0,753,0,0,0,10,0,0,8,118,135,52,0,0,755,228,0,0,33,0,0,0,463,0,0,0,0,63,252,0,0,83,0,"1,931",0,0,0,0,0,0,0,0,"1,823","1,979",0,0,0,0,0,0,0,0,0,"4,906",0,0,0,0,132,0,"16,711","84,665",0,0,0,15,102,0,0,0,0,0,0,0,"1,264,185"
Algeria,0,0,0,0,0,0,0,210,0,3,"1,392","1,258",0,0,0,0,0,0,"25,000",0,0,10,0,2,0,0,186,0,406,0,0,0,0,0,"38,088",0,0,0,0,55,554,25,0,0,0,12,0,0,49,0,42,"1,380",928,0,0,88,71,"1,478",1,0,0,13,0,3,0,816,"1,455,780",811,106,0,0,"17,655",15,453,0,0,0,0,0,0,0,0,3,0,745,30,0,0,0,0,"1,269",0,"46,477","24,601",0,0,300,0,162,0,0,0,0,0,0,0,17,0,0,0,"3,520",0,12,107,0,0,"2,953",0,72,0,635,53,0,"3,505",0,112,0,0,30,0,0,"17,637",0,0,0,0,"4,046",787,0,59,475,0,0,"1,197",0,33,0,13,0,0,23,465,625,240,0,0,17,754,0,0,0,0,0,"3,222",0,0,0,0,0,68,54,61,0,230,0,"58,460",0,0,0,0,0,0,0,0,"2,841","9,455",0,110,0,0,0,0,0,0,"11,775",960,0,0,0,0,215,0,"20,889","17,772",21,0,4,77,0,0,0,0,0,0,346,75,"1,784,499"
American Samoa,0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,079",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,"1,812",0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,"3,319"
Andorra,0,0,0,0,0,0,0,47,0,0,22,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,1,0,0,0,0,0,40,0,0,0,0,11,0,45,0,0,0,4,0,0,7,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,0,2,700,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,89,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,0,0,0,6,0,0,7,0,0,385,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"5,591",0,0,0,0,0,0,0,0,4,55,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,111,11,0,0,5,0,0,0,0,0,0,0,0,"7,398"
Angola,0,0,0,0,0,0,0,81,0,0,546,333,0,0,0,0,0,0,"3,935",0,0,6,0,4,0,"3,236","6,530",0,6,0,0,368,0,12,"3,722",0,101,0,0,69,248,52,0,"145,561","30,592",4,0,0,102,0,0,418,155,0,0,25,64,39,5,0,344,3,0,0,0,436,"17,859",0,"1,055",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,37,0,0,0,0,"1,032",0,0,"1,837",0,0,0,0,"3,049",0,0,0,0,0,0,0,0,0,13,0,0,0,0,15,0,0,0,0,0,0,75,1,0,0,0,58,0,0,0,0,0,0,0,0,"17,493",0,322,0,0,7,0,0,0,457,0,0,0,12,0,0,18,76,62,"161,395",0,0,1,494,0,0,0,681,0,0,0,1,0,0,0,18,4,0,0,"38,192",0,"3,706",0,0,0,0,0,0,0,95,737,"6,614",0,0,"2,417",0,0,0,0,0,0,12,0,0,0,0,58,0,"12,534","6,245",13,0,0,153,441,0,0,0,"44,339",0,0,0,"518,711"
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,5,43,7,0,11,0,"21,264",305,0,0,0,0,33,0,0,0,0,0,0,5,0,0,0,0,0,"2,709",0,0,0,0,15,0,39,0,0,0,5,0,0,3,53,0,11,4,0,469,368,0,24,0,0,0,1,0,0,0,1,82,0,0,0,0,0,0,0,0,57,0,0,0,0,19,0,0,0,0,0,0,0,0,0,6,0,0,43,230,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,35,0,0,123,0,0,0,3,0,0,0,1,0,0,26,14,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,529,30,0,0,0,0,0,0,0,212,113,0,77,0,0,0,8,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,806",0,0,0,2,"1,053","5,251",0,0,0,0,481,115,"56,842"
Argentina,0,0,0,0,708,0,0,0,0,71,"14,832","1,485",0,94,0,0,0,0,0,0,0,28,0,"36,230",5,0,"29,456",0,124,0,0,4,0,0,"22,667",18,0,0,0,"64,900","1,933","3,115",0,0,0,"2,330",0,227,173,21,98,208,"1,191",0,0,"3,653","7,867",77,214,0,0,13,0,8,0,359,"12,953",0,0,0,0,"9,507",0,570,0,0,0,528,0,0,0,928,137,0,354,33,0,0,0,0,715,0,"40,031","84,532",0,"4,515",12,0,119,0,0,0,0,0,0,0,19,0,0,0,0,0,79,42,0,0,0,0,0,0,0,19,0,147,0,"15,746",0,0,49,0,0,0,0,0,0,0,"2,982",0,"1,704",278,0,0,0,"1,024",0,0,0,"2,188",0,"75,919","13,199",150,293,"1,365","1,309",0,11,244,0,0,73,0,0,0,106,6,0,0,4,79,"5,060",0,0,"2,213",0,"270,100",0,0,0,0,0,0,0,0,"3,048","8,729",0,0,0,0,0,0,0,0,0,209,0,0,0,0,500,0,"16,055","181,766","26,781",0,2,"8,107",115,0,0,0,0,0,55,0,"986,818"
Armenia,0,0,0,0,0,0,0,939,0,0,"1,253","2,975","3,729",0,0,0,0,"5,762","6,112",0,0,4,0,3,0,0,54,0,"1,551",0,0,0,0,0,"2,675",0,0,0,0,13,0,16,0,0,0,7,0,0,3,0,"1,383","4,694",666,0,0,8,56,106,4,0,0,625,0,0,0,91,"17,598",0,0,0,"2,227","14,048",0,"7,779",0,0,0,0,0,0,0,0,0,0,228,6,0,0,"2,469",0,142,0,0,"1,008",0,0,23,"8,416",11,0,0,0,0,0,"2,644",0,923,0,0,0,252,0,815,7,0,0,0,0,0,0,0,28,0,0,0,110,0,"3,103",2,0,0,0,0,0,0,0,782,0,0,0,0,0,0,288,0,0,0,7,0,0,1,136,"2,256",105,0,0,14,"510,640",0,0,0,0,0,0,0,0,0,0,0,117,11,0,0,0,0,"10,350",0,0,0,0,0,0,0,0,"2,294",731,0,165,0,0,0,0,0,0,0,"1,178","2,609",0,0,0,"49,862",0,0,"92,671",60,"16,867",0,28,0,0,0,0,0,0,0,0,"785,740"
Aruba,0,0,0,0,0,0,5,0,0,0,41,0,0,5,0,0,0,0,0,0,0,4,0,1,0,0,0,0,5,0,0,0,0,0,683,0,0,0,0,5,0,299,0,0,0,8,0,0,0,"1,674",0,0,5,0,43,456,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,"3,489",0,0,0,0,0,0,16,0,0,0,15,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,273",0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,"5,455",2,0,0,396,0,579,0,0,0,0,"2,416",5,"17,097"
