Year,Total population,percentage
1969,540000,202676946
1974,1116000,213853928
1980,3000000,227224681
1983,2093000,223791994
1992,3400000,255029699
1996,5000000,265228572
2000,8460000,282193477
2001,7800000,285107923
2002,9400000,287726647
2003,9700000,290210914
2004,9300000,292892127
2005,10500000,296410404
2006,11550000,298362973
2007,11780000,301579895
2008,11600000,304059724
2009,10750000,307006550
2010,11600000,308747508
2011,11500000,311914816
2012,11400000,313914040
2013,11300000,316128839
2014,11300000,318857056
