key,country,value
1,Afghanistan,5632196
2,Albania,1264185
3,Algeria,1784499
4,American Samoa,3319
5,Andorra,7398
6,Angola,518711
7,Antigua and Barbuda,56842
8,Argentina,986818
9,Armenia,785740
10,Aruba,17097
11,Australia,487275
12,Austria,529623
13,Azerbaijan,1287404
14,"Bahamas, The",46042
15,Bahrain,61584
16,Bangladesh,7572135
17,Barbados,100528
18,Belarus,1620196
19,Belgium,530401
20,Belize,61806
21,Benin,486756
22,Bermuda,12504
23,Bhutan,90797
24,Bolivia,878981
25,Bosnia and Herzegovina,1699893
26,Botswana,57525
27,Brazil,1804341
28,Brunei Darussalam,43118
29,Bulgaria,1416601
30,Burkina Faso,1642594
31,Burundi,378797
32,Cabo Verde,173048
33,Cambodia,1118878
34,Cameroon,360642
35,Canada,1335191
36,Cayman Islands,4376
37,Central African Republic,342019
38,Chad,403850
39,Channel Islands,26490
40,Chile,610232
41,China,9651150
42,Colombia,2530528
43,Comoros,111182
44,"Congo, Dem. Rep.",1306026
45,"Congo, Rep.",177294
46,Costa Rica,131235
47,Cote d'Ivoire,1020416
48,Croatia,888219
49,Cuba,1485105
50,Curacao,80143
51,Cyprus,148769
52,Czech Republic,524399
53,Denmark,265529
54,Djibouti,14888
55,Dominica,76787
56,Dominican Republic,1375512
57,Ecuador,1160820
58,"Egypt, Arab Rep.",3386059
59,El Salvador,1525397
60,Equatorial Guinea,126069
61,Eritrea,387410
62,Estonia,191205
63,Ethiopia,749139
64,Faeroe Islands,13364
65,Fiji,201462
66,Finland,314075
67,France,2184539
68,French Polynesia,3801
69,Gabon,48886
70,"Gambia, The",70966
71,Georgia,746017
72,Germany,4141435
73,Ghana,737217
74,Greece,1000137
75,Greenland,17679
76,Grenada,57877
77,Guam,2764
78,Guatemala,1051813
79,Guinea,398475
80,Guinea-Bissau,91216
81,Guyana,462636
82,Haiti,1377674
83,Honduras,658817
84,"Hong Kong SAR, China",784079
85,Hungary,570188
86,Iceland,36940
87,India,13885099
88,Indonesia,4116587
89,"Iran, Islamic Rep.",1604750
90,Iraq,2370153
91,Ireland,782838
92,Isle of Man,861
93,Israel,367324
94,Italy,2928772
95,Jamaica,1097627
96,Japan,1012924
97,Jordan,782015
98,Kazakhstan,3826984
99,Kenya,475499
100,Kiribati,5367
101,"Korea, Dem. Rep.",223679
102,"Korea, Rep.",2604888
103,Kosovo,550000
104,Kuwait,322816
105,Kyrgyz Republic,738283
106,Lao PDR,1294218
107,Latvia,342317
108,Lebanon,810854
109,Lesotho,323988
110,Liberia,370453
111,Libya,146839
112,Liechtenstein,4023
113,Lithuania,588897
114,Luxembourg,65980
115,"Macao SAR, China",136821
116,"Macedonia, FYR",626312
117,Madagascar,166886
118,Malawi,287469
119,Malaysia,1683132
120,Maldives,1254
121,Mali,895684
122,Malta,109892
123,Marshall Islands,9768
124,Mauritania,136270
125,Mauritius,172204
126,Mexico,13220345
127,"Micronesia, Fed. Sts.",29335
128,Moldova,859400
129,Monaco,52987
130,Mongolia,74847
131,Montenegro,281812
132,Morocco,3040327
133,Mozambique,727389
134,Myanmar,3139596
135,Namibia,138615
136,Nepal,1986203
137,Netherlands,1008742
138,New Caledonia,6381
139,New Zealand,763731
140,Nicaragua,633057
141,Niger,290330
142,Nigeria,1117901
143,Northern Mariana Islands,10038
144,Norway,204275
145,Oman,24028
146,Pakistan,6170411
147,Palau,5575
148,Panama,143705
149,Papua New Guinea,38951
150,Paraguay,958878
151,Peru,1454362
152,Philippines,6001696
153,Poland,3882994
154,Portugal,2028597
155,Puerto Rico,1712333
156,Qatar,19889
157,Romania,3430476
158,Russian Federation,10910492
159,Rwanda,345824
160,Samoa,114568
161,San Marino,3449
162,Sao Tome and Principe,36115
163,Saudi Arabia,291682
164,Senegal,540363
165,Serbia,1292910
166,Seychelles,9554
167,Sierra Leone,336003
168,Singapore,282213
169,Sint Maarten (Dutch part),21830
170,Slovak Republic,592292
171,Slovenia,171331
172,Solomon Islands,3044
173,Somalia,1920875
174,South Africa,806294
175,South Sudan,759057
176,Spain,1230969
177,Sri Lanka,1780110
178,St. Kitts and Nevis,29054
179,St. Lucia,56481
180,St. Martin (French part),6
181,St. Vincent and the Grenadines,60569
182,Sudan,1508273
183,Suriname,263263
184,Swaziland,97807
185,Sweden,352002
186,Switzerland,649963
187,Syrian Arab Republic,3971493
188,Tajikistan,607802
189,Tanzania,250086
190,Thailand,1007294
191,Timor-Leste,33395
192,Togo,461101
193,Tonga,56303
194,Trinidad and Tobago,374492
195,Tunisia,670902
196,Turkey,3110051
197,Turkmenistan,249523
198,Turks and Caicos Islands,1580
199,Tuvalu,3880
200,Uganda,406193
201,Ukraine,5583906
202,United Arab Emirates,153737
203,United Kingdom,5151142
204,United States,3167905
205,Uruguay,340446
206,Uzbekistan,1912897
207,Vanuatu,8408
208,"Venezuela, RB",655400
209,Vietnam,2592233
210,Virgin Islands (U.S.),4194
211,West Bank and Gaza,4018219
212,"Yemen, Rep.",1268940
213,Zambia,231208
214,Zimbabwe,973247
215,Other North,2713351
216,Other South,4946635
