country,immigrant
Afghanistan,5632196
Albania,1264185
Algeria,1784499
American Samoa,3319
Andorra,7398
Angola,518711
Antigua and Barbuda,56842
Argentina,986818
Armenia,785740
Aruba,17097
Australia,487275
Austria,529623
Azerbaijan,1287404
"Bahamas, The",46042
Bahrain,61584
Bangladesh,7572135
Barbados,100528
Belarus,1620196
Belgium,530401
Belize,61806
Benin,486756
Bermuda,12504
Bhutan,90797
Bolivia,878981
Bosnia and Herzegovina,1699893
Botswana,57525
Brazil,1804341
Brunei Darussalam,43118
Bulgaria,1416601
Burkina Faso,1642594
Burundi,378797
Cabo Verde,173048
Cambodia,1118878
Cameroon,360642
Canada,1335191
Cayman Islands,4376
Central African Republic,342019
Chad,403850
Channel Islands,26490
Chile,610232
China,9651150
Colombia,2530528
Comoros,111182
"Congo, Dem. Rep.",1306026
"Congo, Rep.",177294
Costa Rica,131235
Cote d'Ivoire,1020416
Croatia,888219
Cuba,1485105
Curacao,80143
Cyprus,148769
Czech Republic,524399
Denmark,265529
Djibouti,14888
Dominica,76787
Dominican Republic,1375512
Ecuador,1160820
"Egypt, Arab Rep.",3386059
El Salvador,1525397
Equatorial Guinea,126069
Eritrea,387410
Estonia,191205
Ethiopia,749139
Faeroe Islands,13364
Fiji,201462
Finland,314075
France,2184539
French Polynesia,3801
Gabon,48886
"Gambia, The",70966
Georgia,746017
Germany,4141435
Ghana,737217
Greece,1000137
Greenland,17679
Grenada,57877
Guam,2764
Guatemala,1051813
Guinea,398475
Guinea-Bissau,91216
Guyana,462636
Haiti,1377674
Honduras,658817
"Hong Kong SAR, China",784079
Hungary,570188
Iceland,36940
India,13885099
Indonesia,4116587
"Iran, Islamic Rep.",1604750
Iraq,2370153
Ireland,782838
Isle of Man,861
Israel,367324
Italy,2928772
Jamaica,1097627
Japan,1012924
Jordan,782015
Kazakhstan,3826984
Kenya,475499
Kiribati,5367
"Korea, Dem. Rep.",223679
"Korea, Rep.",2604888
Kosovo,550000
Kuwait,322816
Kyrgyz Republic,738283
Lao PDR,1294218
Latvia,342317
Lebanon,810854
Lesotho,323988
Liberia,370453
Libya,146839
Liechtenstein,4023
Lithuania,588897
Luxembourg,65980
"Macao SAR, China",136821
"Macedonia, FYR",626312
Madagascar,166886
Malawi,287469
Malaysia,1683132
Maldives,1254
Mali,895684
Malta,109892
Marshall Islands,9768
Mauritania,136270
Mauritius,172204
Mexico,13220345
"Micronesia, Fed. Sts.",29335
Moldova,859400
Monaco,52987
Mongolia,74847
Montenegro,281812
Morocco,3040327
Mozambique,727389
Myanmar,3139596
Namibia,138615
Nepal,1986203
Netherlands,1008742
New Caledonia,6381
New Zealand,763731
Nicaragua,633057
Niger,290330
Nigeria,1117901
Northern Mariana Islands,10038
Norway,204275
Oman,24028
Pakistan,6170411
Palau,5575
Panama,143705
Papua New Guinea,38951
Paraguay,958878
Peru,1454362
Philippines,6001696
Poland,3882994
Portugal,2028597
Puerto Rico,1712333
Qatar,19889
Romania,3430476
Russian Federation,10910492
Rwanda,345824
Samoa,114568
San Marino,3449
Sao Tome and Principe,36115
Saudi Arabia,291682
Senegal,540363
Serbia,1292910
Seychelles,9554
Sierra Leone,336003
Singapore,282213
Sint Maarten (Dutch part),21830
Slovak Republic,592292
Slovenia,171331
Solomon Islands,3044
Somalia,1920875
South Africa,806294
South Sudan,759057
Spain,1230969
Sri Lanka,1780110
St. Kitts and Nevis,29054
St. Lucia,56481
St. Martin (French part),6
St. Vincent and the Grenadines,60569
Sudan,1508273
Suriname,263263
Swaziland,97807
Sweden,352002
Switzerland,649963
Syrian Arab Republic,3971493
Tajikistan,607802
Tanzania,250086
Thailand,1007294
Timor-Leste,33395
Togo,461101
Tonga,56303
Trinidad and Tobago,374492
Tunisia,670902
Turkey,3110051
Turkmenistan,249523
Turks and Caicos Islands,1580
Tuvalu,3880
Uganda,406193
Ukraine,5583906
United Arab Emirates,153737
United Kingdom,5151142
United States,3167905
Uruguay,340446
Uzbekistan,1912897
Vanuatu,8408
"Venezuela, RB",655400
Vietnam,2592233
Virgin Islands (U.S.),4194
West Bank and Gaza,4018219
"Yemen, Rep.",1268940
Zambia,231208
Zimbabwe,973247
Other North,2713351
Other South,4946635
